,Transient time,Cgate Voltage,Cgate Int.Voltage,Cgate Current,Fgate Intg Charge,Fgate Int.Voltage,Fgate Current,Source Voltage,Source Intg.Voltage,Source Current,Drain Voltage,Drain Intg Voltage,Drain Current,Substrate Voltage,Substrate Intg Voltage,Substrate Curerent
0,2.98023223876953e-14,-9.0,-9.0,0.0001923667084,-2.019989371e-16,-6.826665417,3.718466226e-09,1.0,1.0,-0.0002530597932,1.0,0.3926183689,-6.519339669e-18,0.0,0.0,6.065345843e-05
1,7.12387489457904e-14,-9.0,-9.0,-3.183345603e-06,-2.0199716129999997e-16,-6.817288067,8.154694628e-11,1.0,1.0,1.007261747e-05,1.0,0.4040031788,-7.519442325e-18,0.0,0.0,-6.940611427e-06
2,9.72845658269815e-14,-9.0,-9.0,-9.999573276e-07,-2.0199602129999998e-16,-6.815791946,-5.150528406e-12,1.0,1.0,7.543300614e-06,1.0,0.4077933409,4.710514546e-18,0.0,0.0,-6.596115836e-06
3,1.28539546084411e-13,-9.0,-9.0,3.975862344e-07,-2.0199464879999998e-16,-6.815524217,9.440489807e-12,1.0,1.0,5.846560958e-06,1.0,0.4087158265,3.859971017e-18,0.0,0.0,-6.297138406e-06
4,1.50418032264611e-13,-9.0,-9.0,8.996348591e-07,-2.0199368739999998e-16,-6.815881647,6.924486547e-12,1.0,1.0,5.190958092e-06,1.0,0.4078750106,5.963092234e-18,0.0,0.0,-6.143649951e-06
5,1.76672215680852e-13,-9.0,-9.0,1.248054581e-06,-2.0199253409999997e-16,-6.816608582,1.121549467e-11,1.0,1.0,4.696166761e-06,1.0,0.4059469056,6.129648223e-18,0.0,0.0,-5.997266656e-06
6,2.13428072463589e-13,-9.0,-9.0,1.488136836e-06,-2.019909216e-16,-6.817913754,1.830617259e-11,1.0,1.0,4.292563797e-06,1.0,0.4023086588,-1.798076897e-18,0.0,0.0,-5.833700951e-06
7,2.72237443315968e-13,-9.0,-9.0,1.618351178e-06,-2.0198834769999999e-16,-6.820288689,3.08107296e-11,1.0,1.0,3.950120163e-06,1.0,0.3955154772,2.13485313e-18,0.0,0.0,-5.621387288e-06
8,3.7809431085025e-13,-9.0,-9.0,1.633145814e-06,-2.0198373549999998e-16,-6.824758852,5.369791144e-11,1.0,1.0,3.612006146e-06,1.0,0.3826562808,1.708034591e-18,0.0,0.0,-5.297888488e-06
9,5.89808045918815e-13,-9.0,-9.0,1.543288705e-06,-2.0197459159999998e-16,-6.833486029,9.737646492e-11,1.0,1.0,3.143575137e-06,1.0,0.3578395497,-7.607103687e-20,0.0,0.0,-4.739274059e-06
10,1.0132355160559399e-12,-9.0,-9.0,1.333420097e-06,-2.019566071e-16,-6.849324571,1.584819943e-10,1.0,1.0,2.450335566e-06,1.0,0.3137856512,9.920744391e-19,0.0,0.0,-3.83550624e-06
11,1.8600904563302e-12,-9.0,-9.0,9.64506634e-07,-2.0192168519999998e-16,-6.874713645,2.031346292e-10,1.0,1.0,1.548289736e-06,1.0,0.2463820888,6.243217218000001e-20,0.0,0.0,-2.563300999e-06
12,3.5538003368787198e-12,-9.0,-9.0,5.149962135e-07,-2.0185493719999998e-16,-6.907467507,1.762467344e-10,1.0,1.0,6.626981171e-07,1.0,0.1692280786,9.507911641000001e-20,0.0,0.0,-1.226137785e-06
13,6.94122009797575e-12,-9.0,-9.0,2.220100531e-07,-2.0172878239999997e-16,-6.940735383,1.560259449e-10,1.0,1.0,2.050043399e-07,1.0,0.1087898934,-2.0348405020000002e-20,0.0,0.0,-4.728490316e-07
14,1.3716059620169798e-11,-9.0,-9.0,9.473091536e-08,-2.0149132369999998e-16,-6.97265133,1.960876753e-10,1.0,1.0,1.046838699e-07,1.0,0.06212906372,2.3440174740000003e-20,0.0,0.0,-2.426314305e-07
15,2.7265738664557998e-11,-9.0,-9.0,9.952414683e-09,-2.010459952e-16,-6.99890036,1.624945467e-10,1.0,1.0,4.566020551e-08,1.0,0.01928818829,8.360278042e-21,0.0,0.0,-9.613022923e-08
16,5.4365096753334194e-11,-9.0,-9.0,-2.860920498e-08,-2.002081537e-16,-7.007961263,1.971214518e-10,1.0,1.0,2.06102677e-08,1.0,-0.01316996277,5.887350404999999e-16,0.0,0.0,-3.002899921e-08
17,1.08563812930887e-10,-9.0,-9.0,-3.563325388e-08,-1.9861334279999998e-16,-6.993192388,4.484010301e-10,1.0,1.0,1.524195561e-08,1.0,-0.03935620212,3.4258732099999997e-16,0.0,0.0,-1.590799286e-08
18,2.16961245285992e-10,-9.0,-9.0,-3.190084357e-08,-1.955785744e-16,-6.955658547,9.721238594e-10,1.0,1.0,1.558301901e-08,1.0,-0.07771280337,6.760985762999999e-17,0.0,0.0,-1.883227735e-08
19,3.25358677641097e-10,-9.0,-9.0,-2.989192879e-08,-1.9276429289999997e-16,-6.921857604,8.258529229e-10,1.0,1.0,1.449071024e-08,1.0,-0.113299424,6.156443896e-17,0.0,0.0,-1.712277861e-08
20,4.55435596467223e-10,-9.0,-9.0,-2.722255726e-08,-1.896259885e-16,-6.883695311,8.90360708e-10,1.0,1.0,1.389185925e-08,1.0,-0.1511219318,-2.24302645e-18,0.0,0.0,-1.70399784e-08
21,6.375432828238e-10,-9.0,-9.0,-2.432858262e-08,-1.855868658e-16,-6.83452021,1.090501106e-09,1.0,1.0,1.309900098e-08,1.0,-0.1975548032,-7.131175831e-17,0.0,0.0,-1.704751688e-08
22,9.289155809943221e-10,-9.0,-9.0,-2.093650278e-08,-1.7980699579999997e-16,-6.764100349,1.441193761e-09,1.0,1.0,1.189485781e-08,1.0,-0.2596744358,-2.6211063669999995e-16,0.0,0.0,-1.68592451e-08
23,1.4533857177012602e-09,-9.0,-9.0,-1.703955099e-08,-1.7098408799999998e-16,-6.656547911,1.886328158e-09,1.0,1.0,9.925015053e-09,1.0,-0.3452071616,9.441466497e-21,0.0,0.0,-1.573465894e-08
24,2.4164272626421604e-09,-9.0,-9.0,-1.276647208e-08,-1.5844793549999998e-16,-6.503519625,2.053308436e-09,1.0,1.0,7.342416621e-09,1.0,-0.4492531954,9.182181817999999e-21,0.0,0.0,-1.307440047e-08
25,3.15768237530882e-09,-9.0,-9.0,-9.271056325e-09,-1.515905795e-16,-6.419896498,9.167759333e-10,1.0,1.0,6.180367166e-09,1.0,-0.4982666885,-6.99079165e-16,0.0,0.0,-9.293683073e-09
26,4.02947056758853e-09,-9.0,-9.0,-7.479157379e-09,-1.450197493e-16,-6.339352969,7.499437809e-10,1.0,1.0,5.429704339e-09,1.0,-0.5283742821,-5.798594978999999e-16,0.0,0.0,-8.034998095e-09
27,5.24997403678012e-09,-9.0,-9.0,-6.021164737e-09,-1.3753884889999998e-16,-6.247409757,7.055595268e-10,1.0,1.0,4.53187396e-09,1.0,-0.5368630709,-6.290306133e-16,0.0,0.0,-6.838716356e-09
28,6.2263768121333904e-09,-9.0,-9.0,-4.852908099e-09,-1.327749761e-16,-6.188850485,3.862600138e-10,1.0,1.0,3.888886857e-09,1.0,-0.5341799865,-4.2337421529999995e-16,0.0,0.0,-5.429377181e-09
29,7.3980601425573105e-09,-9.0,-9.0,-4.121742578e-09,-1.278879012e-16,-6.128699102,3.468554523e-10,1.0,1.0,3.322094209e-09,1.0,-0.5303057278,1.2866029580000001e-20,0.0,0.0,-4.686373316e-09
30,9.038416805150801e-09,-9.0,-9.0,-3.456093408e-09,-1.2210161869999998e-16,-6.057456795,3.496658764e-10,1.0,1.0,2.736420717e-09,1.0,-0.5253858208,-4.0158391059999996e-16,0.0,0.0,-3.994226506e-09
31,1.16629874653004e-08,-9.0,-9.0,-2.781993986e-09,-1.14569596e-16,-5.964696283,3.664493883e-10,1.0,1.0,2.104141242e-09,1.0,-0.5187690959,-5.188111078e-16,0.0,0.0,-3.26808771e-09
32,1.63872146535697e-08,-9.0,-9.0,-2.078076737e-09,-1.043163849e-16,-5.838389095,3.651683818e-10,1.0,1.0,1.444522326e-09,1.0,-0.509408893,-1.019622764e-15,0.0,0.0,-2.475023161e-09
33,2.11114418418389e-08,-9.0,-9.0,-1.454451462e-09,-9.719818643e-17,-5.750705828,1.974784923e-10,1.0,1.0,1.100770634e-09,1.0,-0.5021499098,-4.032056065e-16,0.0,0.0,-1.724518685e-09
34,2.66687371036059e-08,-9.0,-9.0,-1.109361125e-09,-9.081135942e-17,-5.671998609,1.419443406e-10,1.0,1.0,8.558754071e-10,1.0,-0.4956054267,-3.0794365769999997e-16,0.0,0.0,-1.319390265e-09
35,3.44489504700796e-08,-9.0,-9.0,-8.547254263e-10,-8.389643125e-17,-5.586760633,1.205033117e-10,1.0,1.0,6.451887869e-10,1.0,-0.4883902824,3.163118016e-21,0.0,0.0,-1.021553173e-09
36,4.68972918564376e-08,-9.0,-9.0,-6.344018424e-10,-7.563330627e-17,-5.4848807,1.066248568e-10,1.0,1.0,4.538442638e-10,1.0,-0.4795145338,-7.509244579e-16,0.0,0.0,-7.623716255e-10
37,6.62695709358235e-08,-9.0,-9.0,-4.415838655e-10,-6.664515255e-17,-5.37403694,8.195745009e-11,1.0,1.0,3.04182802e-10,1.0,-0.4693209163,-1.892074173e-16,0.0,0.0,-5.325232807e-10
