"Transient time","Cgate Voltage","Cgate Int. Voltage","Cgate Current","Fgate Intg Charge","Fgate Int. Voltage","Fgate Current","Source Voltage","Source Int. Voltage","Source Current","Drain Voltage","Drain Int. Voltage","Drain Current","Substrate Voltage","Substrate Int. Voltage","Substrate Current"
1.0000000000e-10,1.2000000000e+01,1.2000000000e+01,-2.2106284160e-08,-3.4118147400e-28,5.3108483200e+00,-1.6328944930e-19,0.0000000000e+00,0.0000000000e+00,-7.2412193990e-07,1.0000000000e-01,1.0000000000e-01,7.7391354850e-07,0.0000000000e+00,0.0000000000e+00,-2.7685323460e-08
3.0000000000e-10,1.2000000000e+01,1.2000000000e+01,-2.4144832210e-08,-8.6844197450e-28,5.4098345820e+00,7.3935638810e-20,0.0000000000e+00,0.0000000000e+00,-1.3287443490e-06,3.0000000000e-01,3.0000000000e-01,1.3806109210e-06,0.0000000000e+00,0.0000000000e+00,-2.7721715120e-08
6.6283568056e-10,1.2000000000e+01,1.2000000000e+01,-2.4129162930e-08,-4.6556420760e-26,5.5960878350e+00,4.8386486450e-15,0.0000000000e+00,0.0000000000e+00,-2.2681092420e-06,6.6283568060e-01,6.6283568060e-01,2.3311658720e-06,0.0000000000e+00,0.0000000000e+00,-3.8926566480e-08
1.0000000000e-09,1.2000000000e+01,1.2000000000e+01,-2.2796803400e-08,-1.4382169130e-23,5.7637101170e+00,3.2761585140e-13,0.0000000000e+00,0.0000000000e+00,-3.0500156640e-06,1.0000000000e+00,1.0000000000e+00,3.1391740200e-06,0.0000000000e+00,0.0000000000e+00,-6.6356300070e-08
1.5709853952e-09,1.2000000000e+01,1.2000000000e+01,1.4499144190e-10,-2.7897646590e-22,5.7640869840e+00,-7.2895245330e-15,0.0000000000e+00,0.0000000000e+00,-3.0355811270e-06,1.0000000000e+00,1.0000000000e+00,3.0783497940e-06,0.0000000000e+00,0.0000000000e+00,-4.2907500630e-08
2.5709853952e-09,1.2000000000e+01,1.2000000000e+01,-5.7740993180e-13,-7.4307473300e-22,5.7640774640e+00,8.8381435560e-17,0.0000000000e+00,0.0000000000e+00,-3.0356202790e-06,1.0000000000e+00,1.0000000000e+00,3.0789564740e-06,0.0000000000e+00,0.0000000000e+00,-4.3329465650e-08
4.5709853952e-09,1.2000000000e+01,1.2000000000e+01,4.5885545950e-13,-1.6712534240e-21,5.7640679470e+00,-1.0254371090e-18,0.0000000000e+00,0.0000000000e+00,-3.0356195300e-06,1.0000000000e+00,1.0000000000e+00,3.0789499280e-06,0.0000000000e+00,0.0000000000e+00,-4.3324705440e-08
8.5709853952e-09,1.2000000000e+01,1.2000000000e+01,4.5411933880e-13,-3.5276097310e-21,5.7640488310e+00,-4.5152265390e-19,0.0000000000e+00,0.0000000000e+00,-3.0356181630e-06,1.0000000000e+00,1.0000000000e+00,3.0789485260e-06,0.0000000000e+00,0.0000000000e+00,-4.3324665520e-08
1.0000000000e-08,1.2000000000e+01,1.2000000000e+01,4.5474000190e-13,-4.1907989970e-21,5.7640420020e+00,-2.2579870700e-19,0.0000000000e+00,0.0000000000e+00,-3.0356176740e-06,1.0000000000e+00,1.0000000000e+00,3.0789480120e-06,0.0000000000e+00,0.0000000000e+00,-4.3324641380e-08
1.2858029210e-08,1.2000000000e+01,1.2000000000e+01,4.5426416250e-13,-5.5171768320e-21,5.7640283450e+00,-3.5314422590e-19,0.0000000000e+00,0.0000000000e+00,-3.0356166980e-06,1.0000000000e+00,1.0000000000e+00,3.0789469890e-06,0.0000000000e+00,0.0000000000e+00,-4.3324594200e-08
1.5716058419e-08,1.2000000000e+01,1.2000000000e+01,4.5424746500e-13,-6.8435534240e-21,5.7640146870e+00,-3.5352483050e-19,0.0000000000e+00,0.0000000000e+00,-3.0356157110e-06,1.0000000000e+00,1.0000000000e+00,3.0789459560e-06,0.0000000000e+00,0.0000000000e+00,-4.3324550690e-08
1.9145693471e-08,1.2000000000e+01,1.2000000000e+01,4.5418184770e-13,-8.4352038070e-21,5.7639982970e+00,-4.0445033600e-19,0.0000000000e+00,0.0000000000e+00,-3.0356145490e-06,1.0000000000e+00,1.0000000000e+00,3.0789447360e-06,0.0000000000e+00,0.0000000000e+00,-4.3324489850e-08
2.3947182543e-08,1.2000000000e+01,1.2000000000e+01,4.5431005600e-13,-1.0663511710e-20,5.7639753520e+00,-5.2377543060e-19,0.0000000000e+00,0.0000000000e+00,-3.0356129080e-06,1.0000000000e+00,1.0000000000e+00,3.0789430160e-06,0.0000000000e+00,0.0000000000e+00,-4.3324409990e-08
3.1629565059e-08,1.2000000000e+01,1.2000000000e+01,4.5396399870e-13,-1.4228798340e-20,5.7639386400e+00,-7.8367785930e-19,0.0000000000e+00,0.0000000000e+00,-3.0356102830e-06,1.0000000000e+00,1.0000000000e+00,3.0789402640e-06,0.0000000000e+00,0.0000000000e+00,-4.3324282740e-08
4.5457853587e-08,1.2000000000e+01,1.2000000000e+01,4.5388380640e-13,-2.0646296550e-20,5.7638725580e+00,-1.3316929220e-18,0.0000000000e+00,0.0000000000e+00,-3.0356055580e-06,1.0000000000e+00,1.0000000000e+00,3.0789353090e-06,0.0000000000e+00,0.0000000000e+00,-4.3324053220e-08
7.3114430643e-08,1.2000000000e+01,1.2000000000e+01,4.5383204900e-13,-3.3481227690e-20,5.7637403950e+00,-2.5648165930e-18,0.0000000000e+00,0.0000000000e+00,-3.0355961070e-06,1.0000000000e+00,1.0000000000e+00,3.0789253990e-06,0.0000000000e+00,0.0000000000e+00,-4.3323594110e-08
1.0000000000e-07,1.2000000000e+01,1.2000000000e+01,4.5382946220e-13,-4.5958234920e-20,5.7636119170e+00,-2.4963636260e-18,0.0000000000e+00,0.0000000000e+00,-3.0355869200e-06,1.0000000000e+00,1.0000000000e+00,3.0789157650e-06,0.0000000000e+00,0.0000000000e+00,-4.3323147760e-08
1.5377113871e-07,1.2000000000e+01,1.2000000000e+01,4.5379945090e-13,-7.0912002650e-20,5.7633549640e+00,-4.8946483340e-18,0.0000000000e+00,0.0000000000e+00,-3.0355685450e-06,1.0000000000e+00,1.0000000000e+00,3.0788964970e-06,0.0000000000e+00,0.0000000000e+00,-4.3322255070e-08
2.6131341614e-07,1.2000000000e+01,1.2000000000e+01,4.5377753930e-13,-1.2081855090e-19,5.7628410690e+00,-9.6940690640e-18,0.0000000000e+00,0.0000000000e+00,-3.0355317930e-06,1.0000000000e+00,1.0000000000e+00,3.0788579590e-06,0.0000000000e+00,0.0000000000e+00,-4.3320469580e-08
4.7639797100e-07,1.2000000000e+01,1.2000000000e+01,4.5375278880e-13,-2.2062769700e-19,5.7618133180e+00,-1.9304318810e-17,0.0000000000e+00,0.0000000000e+00,-3.0354582850e-06,1.0000000000e+00,1.0000000000e+00,3.0787808780e-06,0.0000000000e+00,0.0000000000e+00,-4.3316898320e-08
9.0656708071e-07,1.2000000000e+01,1.2000000000e+01,4.5371279930e-13,-4.2023017580e-19,5.7597579730e+00,-3.8570570390e-17,0.0000000000e+00,0.0000000000e+00,-3.0353112450e-06,1.0000000000e+00,1.0000000000e+00,3.0786266910e-06,0.0000000000e+00,0.0000000000e+00,-4.3309754630e-08
1.0000000000e-06,1.2000000000e+01,1.2000000000e+01,4.5367018410e-13,-4.6357837020e-19,5.7593116070e+00,-8.4606805570e-18,0.0000000000e+00,0.0000000000e+00,-3.0352793060e-06,1.0000000000e+00,1.0000000000e+00,3.0785932000e-06,0.0000000000e+00,0.0000000000e+00,-4.3308202910e-08
1.1868658386e-06,1.2000000000e+01,1.2000000000e+01,4.5364683210e-13,-5.5027176810e-19,5.7584189060e+00,-1.6833810900e-17,0.0000000000e+00,0.0000000000e+00,-3.0352154240e-06,1.0000000000e+00,1.0000000000e+00,3.0785262130e-06,0.0000000000e+00,0.0000000000e+00,-4.3305099270e-08
1.5605975157e-06,1.2000000000e+01,1.2000000000e+01,4.5361109330e-13,-7.2364659240e-19,5.7566336240e+00,-3.3614660520e-17,0.0000000000e+00,0.0000000000e+00,-3.0350876440e-06,1.0000000000e+00,1.0000000000e+00,3.0783922210e-06,0.0000000000e+00,0.0000000000e+00,-4.3298891110e-08
2.3080608700e-06,1.2000000000e+01,1.2000000000e+01,4.5354501560e-13,-1.0703482910e-18,5.7530635400e+00,-6.7314696530e-17,0.0000000000e+00,0.0000000000e+00,-3.0348320150e-06,1.0000000000e+00,1.0000000000e+00,3.0781241670e-06,0.0000000000e+00,0.0000000000e+00,-4.3286471320e-08
