"Cgate Voltage","Cgate Int. Voltage","Cgate Current","Fgate Intg Charge","Fgate Int. Voltage","Fgate Current","Source Voltage","Source Int. Voltage","Source Current","Drain Voltage","Drain Int. Voltage","Drain Current","Substrate Voltage","Substrate Int. Voltage","Substrate Current"
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-4.7269997020e-16,-5.4249205550e+00,-1.5986796040e-21,0.0000000000e+00,0.0000000000e+00,-2.0975273200e-18,1.0000000000e+00,1.0000000000e+00,3.3053239130e-17,0.0000000000e+00,0.0000000000e+00,-1.1177249570e-17
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-4.7269997020e-16,-5.4249205550e+00,-1.5986796040e-21,0.0000000000e+00,0.0000000000e+00,-2.1017400650e-18,1.0000000000e+00,1.0000000000e+00,1.5283959840e-17,0.0000000000e+00,0.0000000000e+00,-1.3183587040e-17
5.0000000000e-02,5.0000000000e-02,0.0000000000e+00,-4.7269997020e-16,-5.4027701060e+00,-1.2883335520e-21,0.0000000000e+00,0.0000000000e+00,-2.1100057780e-18,1.0000000000e+00,1.0000000000e+00,1.4692090270e-17,0.0000000000e+00,0.0000000000e+00,-1.2579219510e-17
1.0000000000e-01,1.0000000000e-01,0.0000000000e+00,-4.7269997020e-16,-5.3806181560e+00,-1.0359779100e-21,0.0000000000e+00,0.0000000000e+00,-2.1206824680e-18,1.0000000000e+00,1.0000000000e+00,1.5336232390e-17,0.0000000000e+00,0.0000000000e+00,-1.3214775940e-17
1.5000000000e-01,1.5000000000e-01,0.0000000000e+00,-4.7269997020e-16,-5.3584646840e+00,-8.3121491270e-22,0.0000000000e+00,0.0000000000e+00,-2.1291901180e-18,1.0000000000e+00,1.0000000000e+00,1.5352594270e-17,0.0000000000e+00,0.0000000000e+00,-1.3226651070e-17
2.0000000000e-01,2.0000000000e-01,0.0000000000e+00,-4.7269997020e-16,-5.3363096730e+00,-6.6542921160e-22,0.0000000000e+00,0.0000000000e+00,-2.1371858910e-18,1.0000000000e+00,1.0000000000e+00,1.5371568820e-17,0.0000000000e+00,0.0000000000e+00,-1.3170895190e-17
2.5000000000e-01,2.5000000000e-01,0.0000000000e+00,-4.7269997020e-16,-5.3141531030e+00,-5.3149703500e-22,0.0000000000e+00,0.0000000000e+00,-2.1507019620e-18,1.0000000000e+00,1.0000000000e+00,1.5386537780e-17,0.0000000000e+00,0.0000000000e+00,-1.3236193770e-17
3.0000000000e-01,3.0000000000e-01,0.0000000000e+00,-4.7269997020e-16,-5.2919949540e+00,-4.2354025290e-22,0.0000000000e+00,0.0000000000e+00,-2.1579090600e-18,1.0000000000e+00,1.0000000000e+00,1.5404852490e-17,0.0000000000e+00,0.0000000000e+00,-1.3253842110e-17
3.5000000000e-01,3.5000000000e-01,0.0000000000e+00,-4.7269997020e-16,-5.2698352050e+00,-3.3671889450e-22,0.0000000000e+00,0.0000000000e+00,-2.1713206090e-18,1.0000000000e+00,1.0000000000e+00,1.5423836260e-17,0.0000000000e+00,0.0000000000e+00,-1.3254030440e-17
4.0000000000e-01,4.0000000000e-01,0.0000000000e+00,-4.7269997020e-16,-5.2476738370e+00,-2.6705639350e-22,0.0000000000e+00,0.0000000000e+00,-2.1756830420e-18,1.0000000000e+00,1.0000000000e+00,1.5438783840e-17,0.0000000000e+00,0.0000000000e+00,-1.3258731590e-17
