"Transient time","Cgate Voltage","Cgate Int. Voltage","Cgate Current","Fgate Intg Charge","Fgate Int. Voltage","Fgate Current","Source Voltage","Source Int. Voltage","Source Current","Drain Voltage","Drain Int. Voltage","Drain Current","Substrate Voltage","Substrate Int. Voltage","Substrate Current"
7.2759576142e-17,-1.8000000000e+01,-1.8000000000e+01,-2.1897070730e-01,-8.9850673610e-15,-1.7274527700e+02,5.9723348580e-04,1.0000000000e+00,1.0000000000e+00,1.4766296320e-01,1.0000000000e+00,5.6119403210e-01,-4.1273460830e-06,0.0000000000e+00,0.0000000000e+00,-1.7679930630e-01
2.1827872843e-16,-1.8000000000e+01,-1.8000000000e+01,-2.3361604920e-01,-8.9552613420e-15,-1.7218011060e+02,8.6370245880e-04,1.0000000000e+00,1.0000000000e+00,1.0057452590e-01,1.0000000000e+00,5.6790532490e-01,-4.3917545240e-06,0.0000000000e+00,0.0000000000e+00,-1.1537318300e-01
3.6379788071e-16,-1.8000000000e+01,-1.8000000000e+01,-2.3339826420e-01,-8.9257133000e-15,-1.7165631820e+02,8.2344536800e-04,1.0000000000e+00,1.0000000000e+00,1.0263650690e-01,1.0000000000e+00,5.0324088990e-01,-4.4891059230e-06,0.0000000000e+00,0.0000000000e+00,-1.1551414580e-01
5.3842086345e-16,-1.8000000000e+01,-1.8000000000e+01,-2.2511639430e-01,-8.8905823090e-15,-1.7104852320e+02,1.0059383020e-03,1.0000000000e+00,1.0000000000e+00,8.4894030840e-02,1.0000000000e+00,4.0154904730e-01,-4.5359168200e-06,0.0000000000e+00,0.0000000000e+00,-1.0404440840e-01
7.8289303929e-16,-1.8000000000e+01,-1.8000000000e+01,-2.1973543750e-01,-8.8419624310e-15,-1.7020365320e+02,1.4091598750e-03,1.0000000000e+00,1.0000000000e+00,7.3236665550e-02,1.0000000000e+00,2.6749894920e-01,-4.5146462490e-06,0.0000000000e+00,0.0000000000e+00,-9.5532167470e-02
9.7847077996e-16,-1.8000000000e+01,-1.8000000000e+01,-2.2063708000e-01,-8.8036335380e-15,-1.6953386410e+02,1.0759077750e-03,1.0000000000e+00,1.0000000000e+00,7.0191325330e-02,1.0000000000e+00,1.6907180240e-01,-4.4499892640e-06,0.0000000000e+00,0.0000000000e+00,-8.7637185110e-02
1.2131640688e-15,-1.8000000000e+01,-1.8000000000e+01,-2.1509252940e-01,-8.7581982180e-15,-1.6872954000e+02,1.2953334850e-03,1.0000000000e+00,1.0000000000e+00,6.0139314110e-02,1.0000000000e+00,7.0752464250e-02,-4.3423822980e-06,0.0000000000e+00,0.0000000000e+00,-8.0530896850e-02
1.3774493709e-15,-1.8000000000e+01,-1.8000000000e+01,-2.1826977610e-01,-8.7268206120e-15,-1.6817375570e+02,8.5359382530e-04,1.0000000000e+00,1.0000000000e+00,6.1860764540e-02,1.0000000000e+00,4.9538250090e-03,-4.2556679460e-06,0.0000000000e+00,0.0000000000e+00,-7.5349281050e-02
1.5745917335e-15,-1.8000000000e+01,-1.8000000000e+01,-2.1248272960e-01,-8.6895431170e-15,-1.6750536770e+02,1.0374402070e-03,1.0000000000e+00,1.0000000000e+00,5.3850161990e-02,1.0000000000e+00,-5.7256406320e-02,-4.1484588370e-06,0.0000000000e+00,0.0000000000e+00,-7.1056741400e-02
1.7125913873e-15,-1.8000000000e+01,-1.8000000000e+01,-2.1639168210e-01,-8.6637371930e-15,-1.6704418460e+02,6.8294440450e-04,1.0000000000e+00,1.0000000000e+00,5.7399645960e-02,1.0000000000e+00,-1.0160814140e-01,-4.0723575250e-06,0.0000000000e+00,0.0000000000e+00,-6.7707301420e-02
1.8781909719e-15,-1.8000000000e+01,-1.8000000000e+01,-2.1076499850e-01,-8.6330251030e-15,-1.6648905610e+02,8.3454642290e-04,1.0000000000e+00,1.0000000000e+00,5.0986327440e-02,1.0000000000e+00,-1.4279723290e-01,-3.9832513670e-06,0.0000000000e+00,0.0000000000e+00,-6.5252379000e-02
2.1100303903e-15,-1.8000000000e+01,-1.8000000000e+01,-2.0522655280e-01,-8.5904598650e-15,-1.6571662750e+02,1.1787203220e-03,1.0000000000e+00,1.0000000000e+00,4.5066539480e-02,1.0000000000e+00,-1.8941062870e-01,-3.8608137820e-06,0.0000000000e+00,0.0000000000e+00,-6.3079434020e-02
2.2955019251e-15,-1.8000000000e+01,-1.8000000000e+01,-2.0635953090e-01,-8.5568451430e-15,-1.6510744600e+02,9.0040563890e-04,1.0000000000e+00,1.0000000000e+00,4.7368328400e-02,1.0000000000e+00,-2.2027845220e-01,-3.7642887680e-06,0.0000000000e+00,0.0000000000e+00,-6.1037152660e-02
2.5180677667e-15,-1.8000000000e+01,-1.8000000000e+01,-2.0109131880e-01,-8.5169416700e-15,-1.6437930870e+02,1.0877983660e-03,1.0000000000e+00,1.0000000000e+00,4.2932417830e-02,1.0000000000e+00,-2.4355014200e-01,-3.6522616100e-06,0.0000000000e+00,0.0000000000e+00,-5.9752656940e-02
2.6738638559e-15,-1.8000000000e+01,-1.8000000000e+01,-2.0423633510e-01,-8.4893433910e-15,-1.6387801290e+02,7.1729004090e-04,1.0000000000e+00,1.0000000000e+00,4.7884901710e-02,1.0000000000e+00,-2.6227077210e-01,-3.5755553240e-06,0.0000000000e+00,0.0000000000e+00,-5.8486491380e-02
2.8608191629e-15,-1.8000000000e+01,-1.8000000000e+01,-1.9881161990e-01,-8.4565207400e-15,-1.6327703880e+02,8.7396718840e-04,1.0000000000e+00,1.0000000000e+00,4.3657554140e-02,1.0000000000e+00,-2.7628875950e-01,-3.4869566470e-06,0.0000000000e+00,0.0000000000e+00,-5.7974376840e-02
2.9916878778e-15,-1.8000000000e+01,-1.8000000000e+01,-2.0260181810e-01,-8.4337727610e-15,-1.6286331720e+02,5.7562582070e-04,1.0000000000e+00,1.0000000000e+00,4.9061958500e-02,1.0000000000e+00,-2.9047139160e-01,-3.4258994560e-06,0.0000000000e+00,0.0000000000e+00,-5.7097227690e-02
3.1487303357e-15,-1.8000000000e+01,-1.8000000000e+01,-1.9735367110e-01,-8.4066774460e-15,-1.6236620060e+02,7.0485219280e-04,1.0000000000e+00,1.0000000000e+00,4.5125364780e-02,1.0000000000e+00,-3.0019140010e-01,-3.3551988700e-06,0.0000000000e+00,0.0000000000e+00,-5.7016246920e-02
