"Cgate Voltage","Cgate Int. Voltage","Cgate Current","Fgate Intg Charge","Fgate Int. Voltage","Fgate Current","Source Voltage","Source Int. Voltage","Source Current","Drain Voltage","Drain Int. Voltage","Drain Current","Substrate Voltage","Substrate Int. Voltage","Substrate Current"
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-7.3080967580e-02,8.3102818580e-22,0.0000000000e+00,0.0000000000e+00,-1.5818915630e-08,1.0000000000e+00,1.0000000000e+00,1.6270684990e-08,0.0000000000e+00,0.0000000000e+00,-4.5149754980e-10
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-7.3080967580e-02,8.3102818590e-22,0.0000000000e+00,0.0000000000e+00,-1.5818915630e-08,1.0000000000e+00,1.0000000000e+00,1.6270684710e-08,0.0000000000e+00,0.0000000000e+00,-4.5149735140e-10
5.0000000000e-02,5.0000000000e-02,0.0000000000e+00,0.0000000000e+00,-4.0362743480e-02,8.2886632890e-22,0.0000000000e+00,0.0000000000e+00,-2.4150250970e-08,1.0000000000e+00,1.0000000000e+00,2.4812389350e-08,0.0000000000e+00,0.0000000000e+00,-6.6174861330e-10
1.0000000000e-01,1.0000000000e-01,0.0000000000e+00,0.0000000000e+00,-7.6704447910e-03,7.7794957450e-22,0.0000000000e+00,0.0000000000e+00,-3.5604811140e-08,1.0000000000e+00,1.0000000000e+00,3.6541328780e-08,0.0000000000e+00,0.0000000000e+00,-9.3597838080e-10
1.5000000000e-01,1.5000000000e-01,0.0000000000e+00,0.0000000000e+00,2.4990450260e-02,6.8719081440e-22,0.0000000000e+00,0.0000000000e+00,-5.0784755080e-08,1.0000000000e+00,1.0000000000e+00,5.2065401410e-08,0.0000000000e+00,0.0000000000e+00,-1.2799253200e-09
2.0000000000e-01,2.0000000000e-01,0.0000000000e+00,0.0000000000e+00,5.7614704090e-02,5.7104941420e-22,0.0000000000e+00,0.0000000000e+00,-7.0244166340e-08,1.0000000000e+00,1.0000000000e+00,7.1941304670e-08,0.0000000000e+00,0.0000000000e+00,-1.6962044420e-09
2.5000000000e-01,2.5000000000e-01,0.0000000000e+00,0.0000000000e+00,9.0197536310e-02,4.4583966610e-22,0.0000000000e+00,0.0000000000e+00,-9.4461821010e-08,1.0000000000e+00,1.0000000000e+00,9.6647116210e-08,0.0000000000e+00,0.0000000000e+00,-2.1841202980e-09
3.0000000000e-01,3.0000000000e-01,0.0000000000e+00,0.0000000000e+00,1.2273478580e-01,3.2625280310e-22,0.0000000000e+00,0.0000000000e+00,-1.2382104410e-07,1.0000000000e+00,1.0000000000e+00,1.2656226040e-07,0.0000000000e+00,0.0000000000e+00,-2.7397767590e-09
3.5000000000e-01,3.5000000000e-01,0.0000000000e+00,0.0000000000e+00,1.5522310550e-01,2.2295221610e-22,0.0000000000e+00,0.0000000000e+00,-1.5858868740e-07,1.0000000000e+00,1.0000000000e+00,1.6194664930e-07,0.0000000000e+00,0.0000000000e+00,-3.3562399390e-09
4.0000000000e-01,4.0000000000e-01,0.0000000000e+00,0.0000000000e+00,1.8766068190e-01,1.4157241180e-22,0.0000000000e+00,0.0000000000e+00,-1.9883970330e-07,1.0000000000e+00,1.0000000000e+00,2.0286436010e-07,0.0000000000e+00,0.0000000000e+00,-4.0226419940e-09
4.5000000000e-01,4.5000000000e-01,0.0000000000e+00,0.0000000000e+00,2.2004876830e-01,8.3057686390e-23,0.0000000000e+00,0.0000000000e+00,-2.4429640610e-07,1.0000000000e+00,1.0000000000e+00,2.4902063440e-07,0.0000000000e+00,0.0000000000e+00,-4.7219200210e-09
5.0000000000e-01,5.0000000000e-01,0.0000000000e+00,0.0000000000e+00,2.5239473460e-01,4.4793957690e-23,0.0000000000e+00,0.0000000000e+00,-2.9400119560e-07,1.0000000000e+00,1.0000000000e+00,2.9942989060e-07,0.0000000000e+00,0.0000000000e+00,-5.4261069660e-09
5.5000000000e-01,5.5000000000e-01,0.0000000000e+00,0.0000000000e+00,2.8471435620e-01,2.2155845280e-23,0.0000000000e+00,0.0000000000e+00,-3.4608181480e-07,1.0000000000e+00,1.0000000000e+00,3.5217928910e-07,0.0000000000e+00,0.0000000000e+00,-6.0946391320e-09
6.0000000000e-01,6.0000000000e-01,0.0000000000e+00,0.0000000000e+00,3.1702952820e-01,1.0063915690e-23,0.0000000000e+00,0.0000000000e+00,-3.9802271650e-07,1.0000000000e+00,1.0000000000e+00,4.0470796470e-07,0.0000000000e+00,0.0000000000e+00,-6.6822179760e-09
6.5000000000e-01,6.5000000000e-01,0.0000000000e+00,0.0000000000e+00,3.4935300770e-01,4.2175843250e-24,0.0000000000e+00,0.0000000000e+00,-4.4834059080e-07,1.0000000000e+00,1.0000000000e+00,4.5551216500e-07,0.0000000000e+00,0.0000000000e+00,-7.1684072870e-09
7.0000000000e-01,7.0000000000e-01,0.0000000000e+00,0.0000000000e+00,3.8169406390e-01,1.6256113420e-24,0.0000000000e+00,0.0000000000e+00,-4.9595742370e-07,1.0000000000e+00,1.0000000000e+00,5.0350410760e-07,0.0000000000e+00,0.0000000000e+00,-7.5434394720e-09
7.5000000000e-01,7.5000000000e-01,0.0000000000e+00,0.0000000000e+00,4.1406249530e-01,5.6799323460e-25,0.0000000000e+00,0.0000000000e+00,-5.3975256580e-07,1.0000000000e+00,1.0000000000e+00,5.4755556580e-07,0.0000000000e+00,0.0000000000e+00,-7.7997359840e-09
8.0000000000e-01,8.0000000000e-01,0.0000000000e+00,0.0000000000e+00,4.4643144830e-01,1.9216504970e-25,0.0000000000e+00,0.0000000000e+00,-5.8251520420e-07,1.0000000000e+00,1.0000000000e+00,5.9050709750e-07,0.0000000000e+00,0.0000000000e+00,-7.9886434800e-09
8.5000000000e-01,8.5000000000e-01,0.0000000000e+00,0.0000000000e+00,4.7877791030e-01,1.7280338430e-25,0.0000000000e+00,0.0000000000e+00,-6.2651720800e-07,1.0000000000e+00,1.0000000000e+00,6.3466686930e-07,0.0000000000e+00,0.0000000000e+00,-8.1464406240e-09
9.0000000000e-01,9.0000000000e-01,0.0000000000e+00,0.0000000000e+00,5.1109302680e-01,7.6914855220e-25,0.0000000000e+00,0.0000000000e+00,-6.7241667380e-07,1.0000000000e+00,1.0000000000e+00,6.8070209830e-07,0.0000000000e+00,0.0000000000e+00,-8.2822434190e-09
9.5000000000e-01,9.5000000000e-01,0.0000000000e+00,0.0000000000e+00,5.4337620810e-01,3.9235339810e-24,0.0000000000e+00,0.0000000000e+00,-7.1990098540e-07,1.0000000000e+00,1.0000000000e+00,7.2829577960e-07,0.0000000000e+00,0.0000000000e+00,-8.3916641950e-09
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.7562940490e-01,1.7775703470e-23,0.0000000000e+00,0.0000000000e+00,-7.6827953680e-07,1.0000000000e+00,1.0000000000e+00,7.7674954630e-07,0.0000000000e+00,0.0000000000e+00,-8.4669435890e-09
