"Cgate Voltage","Cgate Int. Voltage","Cgate Current","Fgate Intg Charge","Fgate Int. Voltage","Fgate Current","Source Voltage","Source Int. Voltage","Source Current","Drain Voltage","Drain Int. Voltage","Drain Current","Substrate Voltage","Substrate Int. Voltage","Substrate Current"
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-7.3008616290e-02,1.7636192420e-22,0.0000000000e+00,0.0000000000e+00,-8.3341004080e-09,1.0000000000e+00,1.0000000000e+00,8.5721488350e-09,0.0000000000e+00,0.0000000000e+00,-2.3790516760e-10
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-7.3008616300e-02,1.7636192420e-22,0.0000000000e+00,0.0000000000e+00,-8.3341004040e-09,1.0000000000e+00,1.0000000000e+00,8.5721486930e-09,0.0000000000e+00,0.0000000000e+00,-2.3790506490e-10
5.0000000000e-02,5.0000000000e-02,0.0000000000e+00,0.0000000000e+00,-4.0302796870e-02,1.5260356830e-22,0.0000000000e+00,0.0000000000e+00,-1.2721687810e-08,1.0000000000e+00,1.0000000000e+00,1.3070462760e-08,0.0000000000e+00,0.0000000000e+00,-3.4854935520e-10
1.0000000000e-01,1.0000000000e-01,0.0000000000e+00,0.0000000000e+00,-7.6232572000e-03,1.2205212170e-22,0.0000000000e+00,0.0000000000e+00,-1.8753147490e-08,1.0000000000e+00,1.0000000000e+00,1.9246245560e-08,0.0000000000e+00,0.0000000000e+00,-4.9281392820e-10
1.5000000000e-01,1.5000000000e-01,0.0000000000e+00,0.0000000000e+00,2.5024437000e-02,9.0256930650e-23,0.0000000000e+00,0.0000000000e+00,-2.6745160230e-08,1.0000000000e+00,1.0000000000e+00,2.7419253160e-08,0.0000000000e+00,0.0000000000e+00,-6.7371304460e-10
2.0000000000e-01,2.0000000000e-01,0.0000000000e+00,0.0000000000e+00,5.7634979870e-02,6.1725216270e-23,0.0000000000e+00,0.0000000000e+00,-3.6988953290e-08,1.0000000000e+00,1.0000000000e+00,3.7882066870e-08,0.0000000000e+00,0.0000000000e+00,-8.9262157260e-10
2.5000000000e-01,2.5000000000e-01,0.0000000000e+00,0.0000000000e+00,9.0203568410e-02,3.9029756470e-23,0.0000000000e+00,0.0000000000e+00,-4.9736112210e-08,1.0000000000e+00,1.0000000000e+00,5.0885913110e-08,0.0000000000e+00,0.0000000000e+00,-1.1491819620e-09
3.0000000000e-01,3.0000000000e-01,0.0000000000e+00,0.0000000000e+00,1.2272610060e-01,2.2794193270e-23,0.0000000000e+00,0.0000000000e+00,-6.5188035920e-08,1.0000000000e+00,1.0000000000e+00,6.6630153050e-08,0.0000000000e+00,0.0000000000e+00,-1.4413588230e-09
3.5000000000e-01,3.5000000000e-01,0.0000000000e+00,0.0000000000e+00,1.5519938860e-01,1.2266988950e-23,0.0000000000e+00,0.0000000000e+00,-8.3484956940e-08,1.0000000000e+00,1.0000000000e+00,8.5251384830e-08,0.0000000000e+00,0.0000000000e+00,-1.7655208420e-09
4.0000000000e-01,4.0000000000e-01,0.0000000000e+00,0.0000000000e+00,1.8762185840e-01,6.0575614340e-24,0.0000000000e+00,0.0000000000e+00,-1.0466631680e-07,1.0000000000e+00,1.0000000000e+00,1.0678334390e-07,0.0000000000e+00,0.0000000000e+00,-2.1159658870e-09
4.5000000000e-01,4.5000000000e-01,0.0000000000e+00,0.0000000000e+00,2.1999504490e-01,2.7266265110e-24,0.0000000000e+00,0.0000000000e+00,-1.2858626070e-07,1.0000000000e+00,1.0000000000e+00,1.3107120580e-07,0.0000000000e+00,0.0000000000e+00,-2.4837293670e-09
5.0000000000e-01,5.0000000000e-01,0.0000000000e+00,0.0000000000e+00,2.5232661700e-01,1.1081223550e-24,0.0000000000e+00,0.0000000000e+00,-1.5474151700e-07,1.0000000000e+00,1.0000000000e+00,1.5759698460e-07,0.0000000000e+00,0.0000000000e+00,-2.8541047070e-09
5.5000000000e-01,5.5000000000e-01,0.0000000000e+00,0.0000000000e+00,2.8463265220e-01,4.0171739580e-25,0.0000000000e+00,0.0000000000e+00,-1.8214790350e-07,1.0000000000e+00,1.0000000000e+00,1.8535514580e-07,0.0000000000e+00,0.0000000000e+00,-3.2057494340e-09
6.0000000000e-01,6.0000000000e-01,0.0000000000e+00,0.0000000000e+00,3.1693528390e-01,1.2816246270e-25,0.0000000000e+00,0.0000000000e+00,-2.0948259950e-07,1.0000000000e+00,1.0000000000e+00,2.1299900850e-07,0.0000000000e+00,0.0000000000e+00,-3.5148136110e-09
6.5000000000e-01,6.5000000000e-01,0.0000000000e+00,0.0000000000e+00,3.4924734010e-01,3.5604748450e-26,0.0000000000e+00,0.0000000000e+00,-2.3596510060e-07,1.0000000000e+00,1.0000000000e+00,2.3973727460e-07,0.0000000000e+00,0.0000000000e+00,-3.7705069780e-09
7.0000000000e-01,7.0000000000e-01,0.0000000000e+00,0.0000000000e+00,3.8157805840e-01,8.6067982280e-27,0.0000000000e+00,0.0000000000e+00,-2.6102802830e-07,1.0000000000e+00,1.0000000000e+00,2.6499739420e-07,0.0000000000e+00,0.0000000000e+00,-3.9676584210e-09
