"Cgate Voltage","Cgate Int. Voltage","Cgate Current","Fgate Intg Charge","Fgate Int. Voltage","Fgate Current","Source Voltage","Source Int. Voltage","Source Current","Drain Voltage","Drain Int. Voltage","Drain Current","Substrate Voltage","Substrate Int. Voltage","Substrate Current"
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-4.6003861280e-16,-9.0604746280e+00,-2.6957211210e-13,0.0000000000e+00,0.0000000000e+00,9.1107378590e-14,1.0000000000e+00,1.0000000000e+00,1.9802144560e-13,0.0000000000e+00,0.0000000000e+00,-1.9537508410e-14
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-4.6003861280e-16,-9.0604746280e+00,-2.6957211210e-13,0.0000000000e+00,0.0000000000e+00,9.1107368990e-14,1.0000000000e+00,1.0000000000e+00,1.9802073070e-13,0.0000000000e+00,0.0000000000e+00,-1.9536784700e-14
5.0000000000e-02,5.0000000000e-02,0.0000000000e+00,-4.6003861280e-16,-9.0384525720e+00,-2.5229665260e-13,0.0000000000e+00,0.0000000000e+00,8.5257152720e-14,1.0000000000e+00,1.0000000000e+00,1.8534464040e-13,0.0000000000e+00,0.0000000000e+00,-1.8284600400e-14
1.0000000000e-01,1.0000000000e-01,0.0000000000e+00,-4.6003861280e-16,-9.0164300450e+00,-2.3604494110e-13,0.0000000000e+00,0.0000000000e+00,7.9757408770e-14,1.0000000000e+00,1.0000000000e+00,1.7342896240e-13,0.0000000000e+00,0.0000000000e+00,-1.7124603320e-14
1.5000000000e-01,1.5000000000e-01,0.0000000000e+00,-4.6003861280e-16,-8.9944070460e+00,-2.2076149190e-13,0.0000000000e+00,0.0000000000e+00,7.4583328930e-14,1.0000000000e+00,1.0000000000e+00,1.6220583900e-13,0.0000000000e+00,0.0000000000e+00,-1.6011970240e-14
2.0000000000e-01,2.0000000000e-01,0.0000000000e+00,-4.6003861280e-16,-8.9723835720e+00,-2.0639352930e-13,0.0000000000e+00,0.0000000000e+00,6.9719875880e-14,1.0000000000e+00,1.0000000000e+00,1.5165460750e-13,0.0000000000e+00,0.0000000000e+00,-1.4966276090e-14
2.5000000000e-01,2.5000000000e-01,0.0000000000e+00,-4.6003861280e-16,-8.9503596200e+00,-1.9289087050e-13,0.0000000000e+00,0.0000000000e+00,6.5149978290e-14,1.0000000000e+00,1.0000000000e+00,1.4173846550e-13,0.0000000000e+00,0.0000000000e+00,-1.3983859530e-14
3.0000000000e-01,3.0000000000e-01,0.0000000000e+00,-4.6003861280e-16,-8.9283351870e+00,-1.8020581340e-13,0.0000000000e+00,0.0000000000e+00,6.0857407750e-14,1.0000000000e+00,1.0000000000e+00,1.3242244510e-13,0.0000000000e+00,0.0000000000e+00,-1.3061233400e-14
3.5000000000e-01,3.5000000000e-01,0.0000000000e+00,-4.6003861280e-16,-8.9063102710e+00,-1.6829302830e-13,0.0000000000e+00,0.0000000000e+00,5.6826747620e-14,1.0000000000e+00,1.0000000000e+00,1.2367325570e-13,0.0000000000e+00,0.0000000000e+00,-1.2195025670e-14
4.0000000000e-01,4.0000000000e-01,0.0000000000e+00,-4.6003861280e-16,-8.8842848680e+00,-1.5710945340e-13,0.0000000000e+00,0.0000000000e+00,5.3043357410e-14,1.0000000000e+00,1.0000000000e+00,1.1545929630e-13,0.0000000000e+00,0.0000000000e+00,-1.1382049440e-14
4.5000000000e-01,4.5000000000e-01,0.0000000000e+00,-4.6003861280e-16,-8.8622589770e+00,-1.4661419480e-13,0.0000000000e+00,0.0000000000e+00,4.9493330580e-14,1.0000000000e+00,1.0000000000e+00,1.0775059330e-13,0.0000000000e+00,0.0000000000e+00,-1.0619331410e-14
5.0000000000e-01,5.0000000000e-01,0.0000000000e+00,-4.6003861280e-16,-8.8402325940e+00,-1.3676842980e-13,0.0000000000e+00,0.0000000000e+00,4.6163460710e-14,1.0000000000e+00,1.0000000000e+00,1.0051867400e-13,0.0000000000e+00,0.0000000000e+00,-9.9040137420e-15
5.5000000000e-01,5.5000000000e-01,0.0000000000e+00,-4.6003861280e-16,-8.8182057160e+00,-1.2753531390e-13,0.0000000000e+00,0.0000000000e+00,4.3041128490e-14,1.0000000000e+00,1.0000000000e+00,9.3736635220e-14,0.0000000000e+00,0.0000000000e+00,-9.2334115070e-15
6.0000000000e-01,6.0000000000e-01,0.0000000000e+00,-4.6003861280e-16,-8.7961783400e+00,-1.1887989200e-13,0.0000000000e+00,0.0000000000e+00,4.0114575540e-14,1.0000000000e+00,1.0000000000e+00,8.7378859550e-14,0.0000000000e+00,0.0000000000e+00,-8.6051275690e-15
6.5000000000e-01,6.5000000000e-01,0.0000000000e+00,-4.6003861280e-16,-8.7741504640e+00,-1.1076901200e-13,0.0000000000e+00,0.0000000000e+00,3.7372541580e-14,1.0000000000e+00,1.0000000000e+00,8.1420649800e-14,0.0000000000e+00,0.0000000000e+00,-8.0163430050e-15
7.0000000000e-01,7.0000000000e-01,0.0000000000e+00,-4.6003861280e-16,-8.7521220830e+00,-1.0317124270e-13,0.0000000000e+00,0.0000000000e+00,3.4804346590e-14,1.0000000000e+00,1.0000000000e+00,7.5839124220e-14,0.0000000000e+00,0.0000000000e+00,-7.4649360010e-15
7.5000000000e-01,7.5000000000e-01,0.0000000000e+00,-4.6003861280e-16,-8.7300931960e+00,-9.6056794580e-14,0.0000000000e+00,0.0000000000e+00,3.2399876120e-14,1.0000000000e+00,1.0000000000e+00,7.0612449410e-14,0.0000000000e+00,0.0000000000e+00,-6.9487438120e-15
8.0000000000e-01,8.0000000000e-01,0.0000000000e+00,-4.6003861280e-16,-8.7080637970e+00,-8.9397443570e-14,0.0000000000e+00,0.0000000000e+00,3.0149540290e-14,1.0000000000e+00,1.0000000000e+00,6.5719918290e-14,0.0000000000e+00,0.0000000000e+00,-6.4657033770e-15
8.5000000000e-01,8.5000000000e-01,0.0000000000e+00,-4.6003861280e-16,-8.6860338850e+00,-8.3166458080e-14,0.0000000000e+00,0.0000000000e+00,2.8044264860e-14,1.0000000000e+00,1.0000000000e+00,6.1141918470e-14,0.0000000000e+00,0.0000000000e+00,-6.0138552690e-15
9.0000000000e-01,9.0000000000e-01,0.0000000000e+00,-4.6003861280e-16,-8.6640034550e+00,-7.7338528880e-14,0.0000000000e+00,0.0000000000e+00,2.6075455440e-14,1.0000000000e+00,1.0000000000e+00,5.6859865770e-14,0.0000000000e+00,0.0000000000e+00,-5.5913380760e-15
9.5000000000e-01,9.5000000000e-01,0.0000000000e+00,-4.6003861280e-16,-8.6419725040e+00,-7.1889701830e-14,0.0000000000e+00,0.0000000000e+00,2.4234982500e-14,1.0000000000e+00,1.0000000000e+00,5.2856191410e-14,0.0000000000e+00,0.0000000000e+00,-5.1964042290e-15
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,-4.6003861280e-16,-8.6199410290e+00,-6.6797313380e-14,0.0000000000e+00,0.0000000000e+00,2.2515153950e-14,1.0000000000e+00,1.0000000000e+00,4.9114264740e-14,0.0000000000e+00,0.0000000000e+00,-4.8274001450e-15
