"Transient time","Cgate Voltage","Cgate Int. Voltage","Cgate Current","Fgate Intg Charge","Fgate Int. Voltage","Fgate Current","Source Voltage","Source Int. Voltage","Source Current","Drain Voltage","Drain Int. Voltage","Drain Current","Substrate Voltage","Substrate Int. Voltage","Substrate Current"
5.0000000000e-11,1.8000000000e+01,1.8000000000e+01,-9.3839499070e-09,-1.2339947050e-23,7.9257335680e+00,-2.1995473240e-15,0.0000000000e+00,0.0000000000e+00,-2.5045498870e-07,5.0000000000e-02,5.0000000000e-02,2.7357201810e-07,0.0000000000e+00,0.0000000000e+00,-1.3732838810e-08
1.0000000000e-10,1.8000000000e+01,1.8000000000e+01,-1.2076821350e-08,-2.4234702560e-23,7.9462972990e+00,-2.4110188850e-15,0.0000000000e+00,0.0000000000e+00,-4.4151287820e-07,1.0000000000e-01,1.0000000000e-01,4.6804492310e-07,0.0000000000e+00,0.0000000000e+00,-1.4454898390e-08
1.6000000000e-10,1.8000000000e+01,1.8000000000e+01,-1.3025476910e-08,-3.7743208480e-23,7.9751021890e+00,-2.6984489680e-15,0.0000000000e+00,0.0000000000e+00,-5.7113202280e-07,1.6000000000e-01,1.6000000000e-01,5.9945216240e-07,0.0000000000e+00,0.0000000000e+00,-1.5294377960e-08
2.0200000000e-10,1.8000000000e+01,1.8000000000e+01,-1.3131466720e-08,-4.6592888780e-23,7.9960416660e+00,-1.7761105820e-15,0.0000000000e+00,0.0000000000e+00,-6.4151724010e-07,2.0200000000e-01,2.0200000000e-01,6.7000264740e-07,0.0000000000e+00,0.0000000000e+00,-1.5353669530e-08
2.5240000000e-10,1.8000000000e+01,1.8000000000e+01,-1.3255828700e-08,-5.6651272210e-23,8.0214403320e+00,-2.0195759410e-15,0.0000000000e+00,0.0000000000e+00,-7.2222348940e-07,2.5240000000e-01,2.5240000000e-01,7.5106063070e-07,0.0000000000e+00,0.0000000000e+00,-1.5581038460e-08
2.8768000000e-10,1.8000000000e+01,1.8000000000e+01,-1.3325315830e-08,-6.3291398680e-23,8.0393504050e+00,-1.3743865070e-15,0.0000000000e+00,0.0000000000e+00,-7.7787250670e-07,2.8768000000e-01,2.8768000000e-01,8.0701800770e-07,0.0000000000e+00,0.0000000000e+00,-1.5819794850e-08
3.3001600000e-10,1.8000000000e+01,1.8000000000e+01,-1.3401289300e-08,-7.0894757930e-23,8.0609671380e+00,-1.5724337630e-15,0.0000000000e+00,0.0000000000e+00,-8.4397865860e-07,3.3001600000e-01,3.3001600000e-01,8.7360505930e-07,0.0000000000e+00,0.0000000000e+00,-1.6224807510e-08
3.8928640000e-10,1.8000000000e+01,1.8000000000e+01,-1.3481989060e-08,-8.0925434210e-23,8.0914162570e+00,-2.0413271840e-15,0.0000000000e+00,0.0000000000e+00,-9.3656842440e-07,3.8928640000e-01,3.8928640000e-01,9.6706934410e-07,0.0000000000e+00,0.0000000000e+00,-1.7018567910e-08
4.3670272000e-10,1.8000000000e+01,1.8000000000e+01,-1.3540682410e-08,-8.8383880820e-23,8.1159077810e+00,-1.5538742900e-15,0.0000000000e+00,0.0000000000e+00,-1.0111582980e-06,4.3670272000e-01,4.3670272000e-01,1.0425833550e-06,0.0000000000e+00,0.0000000000e+00,-1.7883935650e-08
4.9360230400e-10,1.8000000000e+01,1.8000000000e+01,-1.3616909160e-08,-9.6771375570e-23,8.1454518300e+00,-1.7088539650e-15,0.0000000000e+00,0.0000000000e+00,-1.1000680860e-06,4.9360230400e-01,4.9360230400e-01,1.1328853580e-06,0.0000000000e+00,0.0000000000e+00,-1.9199764460e-08
