"Transient time","Cgate Voltage","Cgate Int. Voltage","Cgate Current","Fgate Intg Charge","Fgate Int. Voltage","Fgate Current","Source Voltage","Source Int. Voltage","Source Current","Drain Voltage","Drain Int. Voltage","Drain Current","Substrate Voltage","Substrate Int. Voltage","Substrate Current"
1.0000000000e-10,6.0000000000e+00,6.0000000000e+00,-1.2124609600e-08,-7.9765590290e-34,2.6583721030e+00,5.6406352190e-24,0.0000000000e+00,0.0000000000e+00,-3.2665708670e-07,1.0000000000e-01,1.0000000000e-01,3.5385759410e-07,0.0000000000e+00,0.0000000000e+00,-1.5075897750e-08
3.0000000000e-10,6.0000000000e+00,6.0000000000e+00,-1.2777002900e-08,-7.8760165860e-33,2.7544805290e+00,1.6974006580e-20,0.0000000000e+00,0.0000000000e+00,-6.2112080570e-07,3.0000000000e-01,3.0000000000e-01,6.4825193030e-07,0.0000000000e+00,0.0000000000e+00,-1.4354120550e-08
6.6799542712e-10,6.0000000000e+00,6.0000000000e+00,-1.1952911890e-08,-7.1384064630e-27,2.9271536720e+00,1.1221383140e-15,0.0000000000e+00,0.0000000000e+00,-1.0554334380e-06,6.6799542710e-01,6.6799542710e-01,1.0835519980e-06,0.0000000000e+00,0.0000000000e+00,-1.6165587500e-08
1.0000000000e-09,6.0000000000e+00,6.0000000000e+00,-1.1811429940e-08,-2.6245992960e-24,3.0797053910e+00,4.3129773800e-14,0.0000000000e+00,0.0000000000e+00,-1.4191676210e-06,1.0000000000e+00,1.0000000000e+00,1.4560450440e-06,0.0000000000e+00,0.0000000000e+00,-2.5065604300e-08
1.5874993344e-09,6.0000000000e+00,6.0000000000e+00,8.5901113730e-11,-4.2386867980e-23,3.0801299000e+00,-1.1006701180e-15,0.0000000000e+00,0.0000000000e+00,-1.4128362930e-06,1.0000000000e+00,1.0000000000e+00,1.4253003510e-06,0.0000000000e+00,0.0000000000e+00,-1.2549863390e-08
2.5874993344e-09,6.0000000000e+00,6.0000000000e+00,-6.5960298340e-13,-1.1017340290e-22,3.0801217400e+00,1.4700726170e-17,0.0000000000e+00,0.0000000000e+00,-1.4128490460e-06,1.0000000000e+00,1.0000000000e+00,1.4256252730e-06,0.0000000000e+00,0.0000000000e+00,-1.2775105860e-08
4.5874993344e-09,6.0000000000e+00,6.0000000000e+00,7.0450634660e-14,-2.4574327360e-22,3.0801192520e+00,-2.4044463430e-19,0.0000000000e+00,0.0000000000e+00,-1.4128488070e-06,1.0000000000e+00,1.0000000000e+00,1.4256217440e-06,0.0000000000e+00,0.0000000000e+00,-1.2772494480e-08
8.5874993344e-09,6.0000000000e+00,6.0000000000e+00,6.7201680040e-14,-5.1688227910e-22,3.0801141700e+00,-2.0948348500e-19,0.0000000000e+00,0.0000000000e+00,-1.4128483070e-06,1.0000000000e+00,1.0000000000e+00,1.4256212420e-06,0.0000000000e+00,0.0000000000e+00,-1.2772489710e-08
1.0000000000e-08,6.0000000000e+00,6.0000000000e+00,6.7322819620e-14,-6.1262782850e-22,3.0801123750e+00,-7.7117158070e-20,0.0000000000e+00,0.0000000000e+00,-1.4128481310e-06,1.0000000000e+00,1.0000000000e+00,1.4256210590e-06,0.0000000000e+00,0.0000000000e+00,-1.2772482660e-08
1.2825001331e-08,6.0000000000e+00,6.0000000000e+00,6.7234838910e-14,-8.0411853470e-22,3.0801087870e+00,-1.4973051200e-19,0.0000000000e+00,0.0000000000e+00,-1.4128477780e-06,1.0000000000e+00,1.0000000000e+00,1.4256206920e-06,0.0000000000e+00,0.0000000000e+00,-1.2772468810e-08
1.8475003993e-08,6.0000000000e+00,6.0000000000e+00,6.7190832640e-14,-1.1870983760e-21,3.0801016090e+00,-2.9498007070e-19,0.0000000000e+00,0.0000000000e+00,-1.4128470730e-06,1.0000000000e+00,1.0000000000e+00,1.4256199600e-06,0.0000000000e+00,0.0000000000e+00,-1.2772441060e-08
2.9775009318e-08,6.0000000000e+00,6.0000000000e+00,6.7168243710e-14,-1.9530517760e-21,3.0800872530e+00,-5.8544375830e-19,0.0000000000e+00,0.0000000000e+00,-1.4128456630e-06,1.0000000000e+00,1.0000000000e+00,1.4256184930e-06,0.0000000000e+00,0.0000000000e+00,-1.2772385500e-08
5.2375019967e-08,6.0000000000e+00,6.0000000000e+00,6.7156087390e-14,-3.4849334450e-21,3.0800585430e+00,-1.1663288880e-18,0.0000000000e+00,0.0000000000e+00,-1.4128428420e-06,1.0000000000e+00,1.0000000000e+00,1.4256155620e-06,0.0000000000e+00,0.0000000000e+00,-1.2772274380e-08
9.7575041266e-08,6.0000000000e+00,6.0000000000e+00,6.7135954290e-14,-6.5485962590e-21,3.0800011230e+00,-2.3278168760e-18,0.0000000000e+00,0.0000000000e+00,-1.4128372000e-06,1.0000000000e+00,1.0000000000e+00,1.4256096980e-06,0.0000000000e+00,0.0000000000e+00,-1.2772052050e-08
1.0000000000e-07,6.0000000000e+00,6.0000000000e+00,6.7241767180e-14,-6.7129517350e-21,3.0799980430e+00,-1.2908112560e-19,0.0000000000e+00,0.0000000000e+00,-1.4128368980e-06,1.0000000000e+00,1.0000000000e+00,1.4256093830e-06,0.0000000000e+00,0.0000000000e+00,-1.2772040160e-08
1.0484991747e-07,6.0000000000e+00,6.0000000000e+00,6.7190568260e-14,-7.0416615320e-21,3.0799918820e+00,-2.5380715960e-19,0.0000000000e+00,0.0000000000e+00,-1.4128362930e-06,1.0000000000e+00,1.0000000000e+00,1.4256087540e-06,0.0000000000e+00,0.0000000000e+00,-1.2772016340e-08
1.1454975241e-07,6.0000000000e+00,6.0000000000e+00,6.7164492830e-14,-7.6990764970e-21,3.0799795610e+00,-5.0310832650e-19,0.0000000000e+00,0.0000000000e+00,-1.4128350820e-06,1.0000000000e+00,1.0000000000e+00,1.4256074960e-06,0.0000000000e+00,0.0000000000e+00,-1.2771968660e-08
