Cgate Voltage,Cgate Int. Voltage,Cgate Current,Fgate Intg Charge,Fgate Int. Voltage,Fgate Current,Source Voltage,Source Int. Voltage,Source Current,Drain Voltage,Drain Int. Voltage,Drain Current,Substrate Voltage,Substrate Int. Voltage,Substrate Current,,,Id_1V,Vcg_0-6V
0.00E+00,0.00E+00,0.00E+00,0.00E+00,-7.30E-02,1.76E-22,0.00E+00,0.00E+00,-8.33E-09,1.00E+00,1.00E+00,1.86E-08,0.00E+00,0.00E+00,-2.38E-10,,,7.38E-09,0.00E+00
0.00E+00,0.00E+00,0.00E+00,0.00E+00,-7.30E-02,1.76E-22,0.00E+00,0.00E+00,-8.33E-09,1.00E+00,1.00E+00,1.86E-08,0.00E+00,0.00E+00,-2.38E-10,,,1.22E-08,5.00E-02
5.00E-02,5.00E-02,0.00E+00,0.00E+00,-4.03E-02,1.53E-22,0.00E+00,0.00E+00,-1.27E-08,1.00E+00,1.00E+00,2.31E-08,0.00E+00,0.00E+00,-3.49E-10,,,1.88E-08,1.00E-01
1.00E-01,1.00E-01,0.00E+00,0.00E+00,-7.62E-03,1.22E-22,0.00E+00,0.00E+00,-1.88E-08,1.00E+00,1.00E+00,2.92E-08,0.00E+00,0.00E+00,-4.93E-10,,,2.73E-08,1.50E-01
1.50E-01,1.50E-01,0.00E+00,0.00E+00,2.50E-02,9.03E-23,0.00E+00,0.00E+00,-2.67E-08,1.00E+00,1.00E+00,3.74E-08,0.00E+00,0.00E+00,-6.74E-10,,,3.82E-08,2.00E-01
2.00E-01,2.00E-01,0.00E+00,0.00E+00,5.76E-02,6.17E-23,0.00E+00,0.00E+00,-3.70E-08,1.00E+00,1.00E+00,4.79E-08,0.00E+00,0.00E+00,-8.93E-10,,,5.15E-08,2.50E-01
2.50E-01,2.50E-01,0.00E+00,0.00E+00,9.02E-02,3.90E-23,0.00E+00,0.00E+00,-4.97E-08,1.00E+00,1.00E+00,6.09E-08,0.00E+00,0.00E+00,-1.15E-09,,,6.76E-08,3.00E-01
3.00E-01,3.00E-01,0.00E+00,0.00E+00,1.23E-01,2.28E-23,0.00E+00,0.00E+00,-6.52E-08,1.00E+00,1.00E+00,7.66E-08,0.00E+00,0.00E+00,-1.44E-09,,,8.40E-08,3.50E-01
3.50E-01,3.50E-01,0.00E+00,0.00E+00,1.55E-01,1.23E-23,0.00E+00,0.00E+00,-8.35E-08,1.00E+00,1.00E+00,9.53E-08,0.00E+00,0.00E+00,-1.77E-09,,,1.06E-07,4.00E-01
4.00E-01,4.00E-01,0.00E+00,0.00E+00,1.88E-01,6.06E-24,0.00E+00,0.00E+00,-1.05E-07,1.00E+00,1.00E+00,1.17E-07,0.00E+00,0.00E+00,-2.12E-09,,,1.30E-07,4.50E-01
4.50E-01,4.50E-01,0.00E+00,0.00E+00,2.20E-01,2.73E-24,0.00E+00,0.00E+00,-1.29E-07,1.00E+00,1.00E+00,1.41E-07,0.00E+00,0.00E+00,-2.48E-09,,,1.46E-07,5.00E-01
