Transient time,Fgate Intg Charge,,Transient time,Fgate Intg Charge,,Transient time,Fgate Intg Charge,,Transient time,Fgate Intg Charge,,Transient time,Fgate Intg Charge
1.00E-15,-1.14E-38,,1.00E-15,-3.02E-37,,1.00E-15,-1.28E-31,,1.00E-15,-1.52E-28,,1.00E-15,-7.84E-27
3.00E-15,-5.49E-36,,3.00E-15,-3.80E-34,,3.00E-15,-1.16E-30,,3.00E-15,-1.58E-27,,3.00E-15,-9.21E-26
5.00E-15,-1.21E-35,,5.00E-15,-1.05E-33,,5.00E-15,-6.65E-30,,5.00E-15,-1.15E-26,,5.00E-15,-3.86E-25
9.00E-15,-8.01E-35,,9.00E-15,-2.40E-32,,9.00E-15,-4.68E-29,,9.00E-15,-6.04E-26,,9.00E-15,-1.27E-24
1.70E-14,-3.48E-33,,1.70E-14,-8.02E-31,,1.70E-14,-2.75E-28,,1.70E-14,-1.44E-25,,1.30E-14,-2.05E-24
3.30E-14,-5.40E-32,,3.30E-14,-4.82E-30,,3.30E-14,-1.24E-27,,3.30E-14,-3.25E-25,,1.78E-14,-2.99E-24
6.50E-14,-1.12E-31,,6.50E-14,-8.29E-30,,6.50E-14,-3.23E-27,,4.10E-14,-3.76E-25,,2.45E-14,-4.17E-24
1.29E-13,-1.32E-31,,9.70E-14,-9.42E-30,,1.29E-13,-4.27E-27,,5.06E-14,-4.18E-25,,3.53E-14,-5.44E-24
2.57E-13,-4.82E-31,,1.35E-13,-1.04E-29,,2.57E-13,-6.01E-27,,6.40E-14,-4.56E-25,,5.46E-14,-6.62E-24
5.13E-13,-1.94E-29,,1.89E-13,-1.23E-29,,5.13E-13,-9.20E-27,,7.48E-14,-4.79E-25,,9.33E-14,-7.71E-24
7.69E-13,-3.30E-28,,2.75E-13,-2.01E-29,,1.03E-12,-2.22E-26,,8.77E-14,-5.03E-25,,1.71E-13,-9.27E-24
1.08E-12,-2.03E-27,,4.30E-13,-9.88E-29,,1.54E-12,-7.50E-26,,1.06E-13,-5.34E-25,,3.26E-13,-1.21E-23
1.51E-12,-8.28E-27,,7.40E-13,-1.46E-27,,1.67E-12,-9.66E-26,,1.35E-13,-5.83E-25,,4.03E-13,-1.31E-23
1.94E-12,-1.95E-26,,1.36E-12,-2.21E-26,,1.82E-12,-1.25E-25,,1.87E-13,-6.70E-25,,4.96E-13,-1.41E-23
2.37E-12,-3.45E-26,,1.98E-12,-8.50E-26,,2.03E-12,-1.67E-25,,2.91E-13,-8.33E-25,,6.26E-13,-1.51E-23
3.23E-12,-6.99E-26,,2.29E-12,-1.28E-25,,2.38E-12,-2.39E-25,,4.99E-13,-1.08E-24,,8.34E-13,-1.62E-23
3.66E-12,-9.01E-26,,2.66E-12,-1.83E-25,,3.00E-12,-3.80E-25,,7.07E-13,-1.22E-24,,1.21E-12,-1.75E-23
4.17E-12,-1.15E-25,,3.18E-12,-2.66E-25,,4.24E-12,-6.82E-25,,8.32E-13,-1.27E-24,,1.58E-12,-1.80E-23
4.90E-12,-1.52E-25,,4.01E-12,-4.06E-25,,5.47E-12,-1.00E-24,,9.82E-13,-1.32E-24,,1.96E-12,-1.84E-23
6.05E-12,-2.14E-25,,5.51E-12,-6.73E-25,,7.95E-12,-1.68E-24,,1.19E-12,-1.38E-24,,2.33E-12,-1.87E-23
8.13E-12,-3.32E-25,,8.51E-12,-1.24E-24,,1.29E-11,-3.12E-24,,1.53E-12,-1.47E-24,,2.78E-12,-1.91E-23
1.23E-11,-5.80E-25,,1.45E-11,-2.45E-24,,2.28E-11,-6.06E-24,,2.13E-12,-1.62E-24,,3.41E-12,-1.97E-23
2.06E-11,-1.09E-24,,2.65E-11,-4.94E-24,,4.26E-11,-1.20E-23,,2.74E-12,-1.77E-24,,4.42E-12,-2.05E-23
3.73E-11,-2.13E-24,,5.05E-11,-9.90E-24,,8.23E-11,-2.38E-23,,3.04E-12,-1.85E-24,,6.23E-12,-2.20E-23
7.06E-11,-4.20E-24,,9.84E-11,-1.98E-23,,1.62E-10,-4.74E-23,,3.40E-12,-1.95E-24,,9.85E-12,-2.47E-23
1.37E-10,-8.34E-24,,1.94E-10,-3.97E-23,,3.20E-10,-9.46E-23,,3.91E-12,-2.08E-24,,1.71E-11,-3.00E-23
2.70E-10,-1.66E-23,,3.86E-10,-7.94E-23,,6.37E-10,-1.89E-22,,4.72E-12,-2.30E-24,,3.16E-11,-4.04E-23
5.37E-10,-3.32E-23,,7.70E-10,-1.59E-22,,1.27E-09,-3.78E-22,,5.45E-12,-2.51E-24,,6.06E-11,-6.13E-23
1.07E-09,-6.63E-23,,1.54E-09,-3.18E-22,,2.54E-09,-7.55E-22,,6.33E-12,-2.75E-24,,8.96E-11,-8.22E-23
2.13E-09,-1.33E-22,,3.07E-09,-6.35E-22,,5.08E-09,-1.51E-21,,7.55E-12,-3.11E-24,,1.24E-10,-1.07E-22
4.27E-09,-2.65E-22,,6.14E-09,-1.27E-21,,1.00E-08,-2.98E-21,,9.52E-12,-3.68E-24,,1.73E-10,-1.42E-22
8.53E-09,-5.30E-22,,1.00E-08,-2.07E-21,,1.98E-08,-5.91E-21,,1.31E-11,-4.72E-24,,2.51E-10,-1.98E-22
1.00E-08,-6.22E-22,,1.77E-08,-3.67E-21,,2.81E-08,-8.36E-21,,2.01E-11,-6.83E-24,,3.91E-10,-3.00E-22
1.29E-08,-8.05E-22,,3.32E-08,-6.86E-21,,3.30E-08,-9.83E-21,,3.43E-11,-1.11E-23,,6.72E-10,-5.02E-22
