Cgate Voltage,Drain Current,,Cgate Voltage,Drain Current,,Cgate Voltage,Drain Current,,Cgate Voltage,Drain Current,,Cgate Voltage,Drain Current
0.00E+00,9.03E-10,,0.00E+00,9.03E-10,,0.00E+00,9.03E-10,,0.00E+00,9.03E-10,,0.00E+00,9.03E-10
0.00E+00,9.03E-10,,0.00E+00,9.03E-10,,0.00E+00,9.03E-10,,0.00E+00,9.03E-10,,0.00E+00,9.03E-10
5.00E-02,1.54E-09,,5.00E-02,1.54E-09,,5.00E-02,1.54E-09,,5.00E-02,1.54E-09,,5.00E-02,1.54E-09
1.00E-01,2.53E-09,,1.00E-01,2.53E-09,,1.00E-01,2.53E-09,,1.00E-01,2.53E-09,,1.00E-01,2.53E-09
1.50E-01,4.02E-09,,1.50E-01,4.02E-09,,1.50E-01,4.02E-09,,1.50E-01,4.02E-09,,1.50E-01,4.02E-09
2.00E-01,6.18E-09,,2.00E-01,6.18E-09,,2.00E-01,6.18E-09,,2.00E-01,6.18E-09,,2.00E-01,6.18E-09
2.50E-01,9.20E-09,,2.50E-01,9.20E-09,,2.50E-01,9.20E-09,,2.50E-01,9.20E-09,,2.50E-01,9.20E-09
3.00E-01,1.33E-08,,3.00E-01,1.33E-08,,3.00E-01,1.33E-08,,3.00E-01,1.33E-08,,3.00E-01,1.33E-08
3.50E-01,1.87E-08,,3.50E-01,1.87E-08,,3.50E-01,1.87E-08,,3.50E-01,1.87E-08,,3.50E-01,1.87E-08
4.00E-01,2.56E-08,,4.00E-01,2.56E-08,,4.00E-01,2.56E-08,,4.00E-01,2.56E-08,,4.00E-01,2.56E-08
4.50E-01,3.43E-08,,4.50E-01,3.43E-08,,4.50E-01,3.43E-08,,4.50E-01,3.43E-08,,4.50E-01,3.43E-08
5.00E-01,4.49E-08,,5.00E-01,4.49E-08,,5.00E-01,4.49E-08,,5.00E-01,4.49E-08,,5.00E-01,4.49E-08
5.50E-01,5.78E-08,,5.50E-01,5.78E-08,,5.50E-01,5.78E-08,,5.50E-01,5.78E-08,,5.50E-01,5.78E-08
6.00E-01,7.30E-08,,6.00E-01,7.30E-08,,6.00E-01,7.30E-08,,6.00E-01,7.30E-08,,6.00E-01,7.30E-08
6.50E-01,9.08E-08,,6.50E-01,9.08E-08,,6.50E-01,9.08E-08,,6.50E-01,9.08E-08,,6.50E-01,9.08E-08
7.00E-01,1.11E-07,,7.00E-01,1.11E-07,,7.00E-01,1.11E-07,,7.00E-01,1.11E-07,,7.00E-01,1.11E-07
7.50E-01,1.34E-07,,7.50E-01,1.34E-07,,7.50E-01,1.34E-07,,7.50E-01,1.34E-07,,7.50E-01,1.34E-07
8.00E-01,1.58E-07,,8.00E-01,1.58E-07,,8.00E-01,1.58E-07,,8.00E-01,1.58E-07,,8.00E-01,1.58E-07
8.50E-01,1.85E-07,,8.50E-01,1.85E-07,,8.50E-01,1.85E-07,,8.50E-01,1.85E-07,,8.50E-01,1.85E-07
9.00E-01,2.11E-07,,9.00E-01,2.11E-07,,9.00E-01,2.11E-07,,9.00E-01,2.11E-07,,9.00E-01,2.11E-07
9.50E-01,2.38E-07,,9.50E-01,2.38E-07,,9.50E-01,2.38E-07,,9.50E-01,2.38E-07,,9.50E-01,2.38E-07
1.00E+00,2.65E-07,,1.00E+00,2.65E-07,,1.00E+00,2.65E-07,,1.00E+00,2.65E-07,,1.00E+00,2.65E-07
1.05E+00,2.90E-07,,1.05E+00,2.90E-07,,1.05E+00,2.90E-07,,1.05E+00,2.90E-07,,1.05E+00,2.90E-07
1.10E+00,3.14E-07,,1.10E+00,3.14E-07,,1.10E+00,3.14E-07,,1.10E+00,3.14E-07,,1.10E+00,3.14E-07
1.15E+00,3.35E-07,,1.15E+00,3.35E-07,,1.15E+00,3.35E-07,,1.15E+00,3.35E-07,,1.15E+00,3.35E-07
1.20E+00,3.54E-07,,1.20E+00,3.54E-07,,1.20E+00,3.54E-07,,1.20E+00,3.54E-07,,1.20E+00,3.54E-07
1.25E+00,3.73E-07,,1.25E+00,3.73E-07,,1.25E+00,3.73E-07,,1.25E+00,3.73E-07,,1.25E+00,3.73E-07
1.30E+00,3.92E-07,,1.30E+00,3.92E-07,,1.30E+00,3.92E-07,,1.30E+00,3.92E-07,,1.30E+00,3.92E-07
1.35E+00,4.11E-07,,1.35E+00,4.11E-07,,1.35E+00,4.11E-07,,1.35E+00,4.11E-07,,1.35E+00,4.11E-07
1.40E+00,4.31E-07,,1.40E+00,4.31E-07,,1.40E+00,4.31E-07,,1.40E+00,4.31E-07,,1.40E+00,4.31E-07
1.45E+00,4.52E-07,,1.45E+00,4.52E-07,,1.45E+00,4.52E-07,,1.45E+00,4.52E-07,,1.45E+00,4.52E-07
1.50E+00,4.73E-07,,1.50E+00,4.73E-07,,1.50E+00,4.73E-07,,1.50E+00,4.73E-07,,1.50E+00,4.73E-07
1.55E+00,4.94E-07,,1.55E+00,4.94E-07,,1.55E+00,4.94E-07,,1.55E+00,4.94E-07,,1.55E+00,4.94E-07
1.60E+00,5.16E-07,,1.60E+00,5.16E-07,,1.60E+00,5.16E-07,,1.60E+00,5.16E-07,,1.60E+00,5.16E-07
