,Cgate Voltage,Cgate Int.Voltage,Cgate Current,Fgate Intg Charge,Fgate Int.Voltage,Fgate Current,Source Voltage,Source Intg.Voltage,Source Current,Drain Voltage,Drain Intg Voltage,Drain Current,Substrate Voltage,Substrate Intg Voltage,Substrate Curerent
0,0.0,0.0,0.0,0.0,-0.09114903423,1.154550386e-21,0.0,0.0,-2.964676474e-09,1.0,1.0,3.065433319e-09,0.0,0.0,-1.007153688e-10
1,0.0,0.0,0.0,0.0,-0.09114903423,1.154550386e-21,0.0,0.0,-2.964676473e-09,1.0,1.0,3.065433319e-09,0.0,0.0,-1.007153689e-10
2,0.05,0.05,0.0,0.0,-0.05838277527,1.316287341e-21,0.0,0.0,-4.950684642e-09,1.0,1.0,5.112276413e-09,0.0,0.0,-1.615180939e-10
3,0.1,0.1,0.0,0.0,-0.02563133744,1.417028487e-21,0.0,0.0,-7.977168564e-09,1.0,1.0,8.227015897e-09,0.0,0.0,-2.497503509e-10
4,0.15,0.15,0.0,0.0,0.007099340938,1.437855414e-21,0.0,0.0,-1.239685395e-08,1.0,1.0,1.27691691e-08,0.0,0.0,-3.721749641e-10
5,0.2,0.2,0.0,0.0,0.03980256435,1.373341662e-21,0.0,0.0,-1.859565777e-08,1.0,1.0,1.913080337e-08,0.0,0.0,-5.349503026e-10
6,0.25,0.25,0.0,0.0,0.07247126056,1.233138414e-21,0.0,0.0,-2.697303784e-08,1.0,1.0,2.771631931e-08,0.0,0.0,-7.430187139e-10
7,0.3,0.3,0.0,0.0,0.1050982238,1.039465415e-21,0.0,0.0,-3.79228706e-08,1.0,1.0,3.892288049e-08,0.0,0.0,-9.996676729e-10
8,0.35,0.35,0.0,0.0,0.1376763861,8.2162746010000005e-22,0.0,0.0,-5.181569926e-08,1.0,1.0,5.312240225e-08,0.0,0.0,-1.306270355e-09
9,0.4,0.4,0.0,0.0,0.1701990695,6.09066872e-22,0.0,0.0,-6.898376224e-08,1.0,1.0,7.064650469e-08,0.0,0.0,-1.662210114e-09
10,0.45,0.45,0.0,0.0,0.2026603099,4.246125988e-22,0.0,0.0,-8.97030348e-08,1.0,1.0,9.176849087e-08,0.0,0.0,-2.064816931e-09
11,0.5,0.5,0.0,0.0,0.2350553441,2.802143941e-22,0.0,0.0,-1.141671506e-07,1.0,1.0,1.16677106e-07,0.0,0.0,-2.509205064e-09
12,0.55,0.55,0.0,0.0,0.2673813428,1.768061385e-22,0.0,0.0,-1.424481685e-07,1.0,1.0,1.454369676e-07,0.0,0.0,-2.987936291e-09
13,0.6,0.6,0.0,0.0,0.2996384767,1.078360622e-22,0.0,0.0,-1.744392359e-07,1.0,1.0,1.779306696e-07,0.0,0.0,-3.490460735e-09
14,0.65,0.65,0.0,0.0,0.3318312522,6.403856646e-23,0.0,0.0,-2.097840338e-07,1.0,1.0,2.13787612e-07,0.0,0.0,-4.002501886e-09
15,0.7,0.7,0.0,0.0,0.3639697122,3.698981962e-23,0.0,0.0,-2.47814466e-07,1.0,1.0,2.523214579e-07,0.0,0.0,-4.505823601e-09
